S.No.,Province,Name of Town
438,Central Province,Gedaramada
439,Central Province,Gedarawela
440,Central Province,Gelioya
441,Central Province,Gerandigala
442,Central Province,Getambe
443,Central Province,Getembe
444,Central Province,Getiyawala
445,Central Province,Gettapola
446,Central Province,Gettiyawala
447,Central Province,Giddawa
448,Central Province,Ginigathena
449,Central Province,Ginnoruwa
450,Central Province,Giragama
451,Central Province,Giragma
452,Central Province,Girahagama
453,Central Province,Girantalawa
454,Central Province,Giraulla
455,Central Province,Girihagama
456,Central Province,Godagama
457,Central Province,Godagama
458,Central Province,Godagandeniya
459,Central Province,Godakumbura
460,Central Province,Godamuna
461,Central Province,Godamuduna
462,Central Province,Godamunna
463,Central Province,Godapola
464,Central Province,Godapussa
465,Central Province,Godatale
466,Central Province,Godawela
467,Central Province,Godigamuwa
468,Central Province,Golahenwatta
469,Central Province,Golegammana
470,Central Province,Gollangolla
471,Central Province,Gomadale
472,Central Province,Gomagoda
473,Central Province,Gonapola
474,Central Province,Gonawala
475,Central Province,Gonawatta
476,Central Province,Gonawela
477,Central Province,Gondawela
478,Central Province,Gondeniya
479,Central Province,Gondewala
480,Central Province,Gonewala
481,Central Province,Gonigoda
482,Central Province,Govindala
483,Central Province,Gunadaha
484,Central Province,Gunnepana Gabadagama
485,Central Province,Gunnepana Madige
486,Central Province,Gunnepana Pallegammedda
487,Central Province,Gunnepana Udagammedda
488,Central Province,Gurubebila
489,Central Province,Gurudeniya
490,Central Province,Gurugala Ella
491,Central Province,Gurugalle Ella
492,Central Province,Gurugama
493,Central Province,Gurukete
494,Central Province,Gurulupota
495,Central Province,Guruwela
496,Central Province,Hakmana
497,Central Province,Hakurutale
498,Central Province,Haladiwela
499,Central Province,Halagama
500,Central Province,Halangoda
501,Central Province,Halgolla
502,Central Province,Haliyadda
503,Central Province,Haliyala
504,Central Province,Haliyedde
505,Central Province,Halmehikandura
506,Central Province,Halminiya
507,Central Province,Halpola
508,Central Province,Handabowa
509,Central Province,Handaganawa
510,Central Province,Handessa
511,Central Province,Hangaran Oya
512,Central Province,Hangarandeniya
513,Central Province,Hangarapitiya
514,Central Province,Hangran Oya
515,Central Province,Hanguranketa
516,Central Province,Hanguranketa Town
517,Central Province,Hanwella
518,Central Province,Happawara
519,Central Province,Hapudandawala
520,Central Province,Hapudandawela
521,Central Province,Hapugaha-Arawa
522,Central Province,Hapugahamulla
523,Central Province,Hapugahapitiya
524,Central Province,Hapugaharawa
525,Central Province,Hapugasdeniya
526,Central Province,Hapugaspitiya
527,Central Province,Hapugastalawa
528,Central Province,Hapugoda
529,Central Province,Hapukanda
530,Central Province,Hapupe
531,Central Province,Haputale Pallegama
532,Central Province,Haputale Udagama
533,Central Province,Haputale Udagammedda
534,Central Province,Hapuwala
535,Central Province,Haragama
536,Central Province,Haraggama
537,Central Province,Harakola
538,Central Province,Harangala
539,Central Province,Harankahagoda
540,Central Province,Harankahawa
541,Central Province,Harasbedda
542,Central Province,Harasgama
543,Central Province,Harden-huish
544,Central Province,Hassalaka
545,Central Province,Hatadukkuwa
546,Central Province,Hatamunagala
547,Central Province,Hataraliyadda
548,Central Province,Hathugoda
549,Central Province,Hatiyaldeniya
550,Central Province,Hatiyalwela
551,Central Province,Hatnagoda
552,Central Province,Hatton
553,Central Province,Hatugoda
554,Central Province,Hedeniya
555,Central Province,Hedunuwawa
556,Central Province,Hegama
557,Central Province,Hegasulla
558,Central Province,Helambagahawatta
559,Central Province,Hemagahahena
560,Central Province,Hembarawa
561,Central Province,Hemure
562,Central Province,Henagahawela
563,Central Province,Henagehuwala
564,Central Province,Henagehuwala Medagammedda
565,Central Province,Henapola
566,Central Province,Henaya Rotawewa
567,Central Province,Hendeniya
568,Central Province,Henegama
569,Central Province,Henegama Palkumbura
570,Central Province,Henepola
571,Central Province,Hepana
572,Central Province,Hettigammedda
573,Central Province,Hevanewala
574,Central Province,Hewaheta
575,Central Province,Hewanetenna
576,Central Province,Hewanewala
577,Central Province,Hewawissa
578,Central Province,Hewawisse
579,Central Province,Hiddaulla
580,Central Province,Hilpankandura
581,Central Province,Hilpenkandura
582,Central Province,Hilton Colony
583,Central Province,Himbiliyakada
584,Central Province,Hinagama
585,Central Province,Hindagala
586,Central Province,Hindagoda
587,Central Province,Hindirigama
588,Central Province,Hingulwala
589,Central Province,Hingulwela
590,Central Province,Hingurewela
591,Central Province,Hingurukaduwa
592,Central Province,Hinnarangolla
593,Central Province,Hippala
594,Central Province,Hippola
595,Central Province,Hiriyalagammana
596,Central Province,Hitgoda
597,Central Province,Hitgoda Walpola
598,Central Province,Hitigegama
599,Central Province,Hitigolla
600,Central Province,Hiyadala
601,Central Province,Hiyadala
602,Central Province,Hiyadala Walpola
603,Central Province,Hiyarapitiya
604,Central Province,Hiyawela
605,Central Province,Holbrook
606,Central Province,Homagama
607,Central Province,Homapola
608,Central Province,Hombawa
609,Central Province,Horagahapitiya
610,Central Province,Horakada
611,Central Province,Horton Plains
612,Central Province,Huduhumpola
613,Central Province,Hulangamuwa
614,Central Province,Huluganga
615,Central Province,Huluganga Town
616,Central Province,Hunnasgiriya
617,Central Province,Hunuange Bogaskumburegammedda
618,Central Province,Hunuange Imbulkotadeniya
619,Central Province,Hunugalpitiya
620,Central Province,Hunuketa-ela
621,Central Province,Hunuketawala
622,Central Province,Hunuketella
623,Central Province,Hurikaduwa
624,Central Province,Hurikaduwa Madige
625,Central Province,Hurikaduwe Madige
626,Central Province,Idamagama
627,Central Province,Idamelanda
628,Central Province,Idampitiya
629,Central Province,Ihagama
630,Central Province,Ihaladiggala
631,Central Province,Ihalagama Niyangama
632,Central Province,Ihalakande Bavulana
633,Central Province,Illagolla
634,Central Province,Illawatura
635,Central Province,Illukpelessa (7°7'N 80°49'E)
636,Central Province,Illukpelessa (7°1'N 80°54'E)
637,Central Province,Illuktenna (7°10'N 80°55'E)
638,Central Province,Illuktenna (7°22'N 80°55'E)
639,Central Province,Illukwatta
640,Central Province,Ilpemada
641,Central Province,Ilukhena
642,Central Province,Ilukpelessa (7°7'N 80°49'E)
643,Central Province,Ilukpelessa (7°1'N 80°54'E)
644,Central Province,Ilukpelessa (7°27'N 80°54'E)
645,Central Province,Iluktenna
646,Central Province,Ilukwatta
647,Central Province,Imaduwa
648,Central Province,Imbulandanda
649,Central Province,Imbuldeniya
650,Central Province,Imbuletenna
651,Central Province,Imbulgolla
652,Central Province,Imbulmalgama
653,Central Province,Imbulpitiya
654,Central Province,Inguruwatta
655,Central Province,Inigala
656,Central Province,Ipiladana
657,Central Province,Irahanda
658,Central Province,Iriyagolla
659,Central Province,Irrahanda
660,Central Province,Ittamalliyagoda
661,Central Province,Ivurawala
662,Central Province,Jahakagama 
663,Central Province,Jiwanawatta
664,Central Province,Kadadekawewa
665,Central Province,Kadadoovapitiya
666,Central Province,Kadadora Pallegammedda
667,Central Province,Kadadora Udagammedda
668,Central Province,Kadadorapitiya
669,Central Province,Kadawala
670,Central Province,Kadawatgama
671,Central Province,Kadugannawa
672,Central Province,Kadugawnawa
673,Central Province,Kaduwela
674,Central Province,Kahagala
675,Central Province,Kahalla
676,Central Province,Kahapathwela
677,Central Province,Kahapatwala
678,Central Province,Kahatadanda
679,Central Province,Kahatagaha
680,Central Province,Kahatagaha Aswedduma
681,Central Province,Kahatagastenna
682,Central Province,Kahatapitiya
683,Central Province,Kahawatta
684,Central Province,Kahawatugoda
685,Central Province,Kaikawala
686,Central Province,Kaineke
687,Central Province,Kalaganwatta
688,Central Province,Kalagolla
689,Central Province,Kalalgamuwa
690,Central Province,Kalalpitiya
691,Central Province,Kalapathwela
692,Central Province,Kalapitiya
693,Central Province,Kalawa
694,Central Province,Kalawagahawadiya
695,Central Province,Kalawala
696,Central Province,Kalaweldeniya
697,Central Province,Kalotuwawa
698,Central Province,Kaludella
699,Central Province,Kaludemada
700,Central Province,Kaludewala
701,Central Province,Kalugal-oya
702,Central Province,Kalugala
703,Central Province,Kaluganga
704,Central Province,Kaluwane
705,Central Province,Kambarawa
706,Central Province,Kamburadeniya
707,Central Province,Kammaltera
708,Central Province,Kanakkarapola
709,Central Province,Kanangamuwa
710,Central Province,Kandalama
711,Central Province,Kandangama
712,Central Province,Kandanhena
713,Central Province,Kandapola
714,Central Province,Kande
715,Central Province,Kandegama
716,Central Province,Kandegama
717,Central Province,Kandegama
718,Central Province,Kandegedara
719,Central Province,Kandekumbura
720,Central Province,Kandekumbura
721,Central Province,Kandekumbura
722,Central Province,Kandemoragolla
723,Central Province,Kandewela
724,Central Province,Kanduregoda
725,Central Province,Kandurugoda
726,Central Province,Kandy
727,Central Province,Kannadeniya
728,Central Province,Kapuliyadda
729,Central Province,Kaputupola
730,Central Province,Karagala
731,Central Province,Karagama
732,Central Province,Karagastenna
